entity	label
866c484a-44d8-4fde-b54f-3b1d9f8ca612	philosophy, ethics and religion
e2120c91-f57d-4f96-8992-59c109634f1c	other humanities
f3cb3d46-1a4f-4c29-9e80-46a854f53382	optics
41d8a14d-6def-402e-b6e5-09d1cd8d3fc4	astronomy
c61cf6c6-8b52-4fbb-9b30-b09659e476cf	condensed matter physics
bc599515-b5e0-4b5b-9c0a-1f794d197ed3	nuclear physics
a87e992b-13ab-47e9-bc25-1dc24d69d1f2	atomic physics
05cb3438-9392-4a86-b945-2ff240183683	electromagnetism and electronics
31b37bab-06b5-46e0-a76e-d18c04ddb2b4	acoustics
5f6d0ee3-74d2-4fba-829b-24ef3fdf33fa	theoretical physics
bfd5c444-49dd-4da9-9ad8-d242f724f036	quantum physics
da85f15b-d00c-4b04-a525-e9406e1f81ea	plasma physics
f904fbe4-cff9-4f2c-9e7e-7b964cb2318f	molecular and chemical physics
dccbb79d-0f5e-4efd-853f-826e04e32f5d	relativistic mechanics
0fce4b31-70e0-42f1-b844-5f7f0ce74914	thermodynamics
65f1cb53-0694-477b-9900-61ac8ad78c67	geology
2660be39-041b-4cee-9bfc-32b28b884bd7	atmospheric sciences
8a64da82-b46e-4940-b896-bfc79ad3f6f8	palaeontology
8e469a25-b5fd-4bf3-8cc1-d14800e650e0	environmental sciences
b0edf9eb-127a-41bc-b0cf-eb3ed9039f0c	oceanography
4fc54e32-5c0e-4f9f-aec1-18bb20609eba	geochemistry
fca43b97-3619-4883-8fc8-15630cf240d9	physical geography
84a41eb4-356e-40a4-bc70-216beaf3d33d	geophysics
a90b6f46-eb48-46d0-81c2-37cf667fd4a5	hydrology
b486d48d-b7d5-46d8-9c7a-3e921eebe3d5	soil sciences
2d07f15f-2b3a-45d7-a246-411d3a061f15	organic chemistry
57ae94b9-b0e2-4066-b910-3b58c015c17e	physical chemistry
dc1b3723-476f-453c-a596-c7ccfde9b4b1	analytical chemistry
4e705211-8770-4a2a-8596-dbc25b41c83b	electrochemistry
4940967c-1739-49c6-8474-6bb8ad7ff588	nuclear chemistry
45e374e6-da15-44da-9995-9ddd9b01fea9	inorganic chemistry
9db99312-b7aa-4a85-ba0e-b2dd05135539	polymer sciences
b3f4a4bc-41a0-4bd8-abff-f182893550c6	catalysis
46889256-2431-4fb0-bee0-184f2c8a24c4	computer security
b078d965-cd9f-438b-888e-a86a2137ca10	data science
4c8f4b46-6f5c-41d9-9079-7de85c16431d	artificial intelligence
b05801b2-037a-454e-b0d7-3f3cb7a63cfb	knowledge engineering
aafff649-e02a-496e-b436-284ce76044c4	software
e2c0aa46-c26e-468a-8800-45e85e038ec2	internet
dd6b64d9-afef-4d5e-8a93-6c251d2565cf	computational science
1f6c74df-a512-462e-99aa-8dcbaa98972a	databases
bf927f14-c975-45e6-bedd-a383152aa7d3	genetics
288627c1-4e51-42b3-b773-f68b39c3b0a9	marine biology
36734fd7-bed0-4ac6-9445-a35869e83091	ecology
d8bca3d6-cd94-4597-8d72-39fd31699728	microbiology
763cdd4c-3c18-4fa5-91be-fc6c8754d116	zoology
dde8eea3-9315-4c49-8464-f26a2deb949f	biochemistry
a9aa37ce-d8d5-4d68-9123-ffbced0aed12	cell biology
5b85e891-a025-4270-9b5d-df61c39b79f2	biological behavioural sciences
1d61ac8a-6360-432d-9729-f180ba76f24b	molecular biology
32983fb5-b823-4830-a924-773611dc4e25	biological morphology
9cfaafe4-7fee-41fc-ba8d-cf23a2a176e6	biophysics
a74ddb9f-5ad3-4cf4-942d-9dd83fcc041b	synthetic biology
021bf00b-fbb1-487a-b79c-feacbb17b814	neurobiology
bd0efc6b-d9bf-4519-b8e5-7f319401526e	other biological topics
584d9d66-018f-4bb9-812c-7fafd5b1abd4	developmental biology
0adb1597-9fb5-43ec-81ba-09af6670352d	biodiversity conservation
93205ae1-235c-4259-a94d-ca9453a2ce17	botany
749ae797-df54-47c9-9298-60812c03e3e5	reproductive biology
33f31d80-b8e4-44b3-832f-02b975a9b549	evolutionary biology
838f3474-df6f-4654-958e-38b8d7e4b0c9	histology
d65148fb-16db-4577-809d-e6c9c4aadead	freshwater biology
5294e080-9aee-4eb6-99c6-c77afc5dc846	pure mathematics
96c3e7e8-7584-4f61-a90d-39652b83f41e	applied mathematics
91dbf78e-ec96-4fc8-9ba3-706d26b85a15	agriculture
d5486acf-7f05-4e9d-80ce-f035987b41bc	forestry
0b94b07d-b3bc-4b89-9d2a-5815d4fadb83	fisheries
ed1f12b1-12f0-4109-b592-d86f4a5c7b30	domestic animals
ae3cfca8-a6b6-453b-baad-1a470c4ff238	dairy
4e2d5d05-e6af-41fa-abc0-5ef8a0d09661	apiculture
7aaec0f1-299a-4440-af7f-400f5bf6f785	biomass
a4440832-246b-4287-9e41-3ee3fa79f944	agricultural genetics
51375078-2b2e-438e-afa1-49bed3b06349	marker assisted selection
4cec15e9-0570-49e3-91d7-cebe00d0fadf	tropical medicine
9285d0c4-93e0-4cd7-bc24-4cb0b0b9a06e	speech-language pathology
b533acc2-aff1-4c65-80ca-5d5bee865ba9	public health
4825264c-ff40-46ee-b7a9-dc5093003929	parasitology
fa2ceeab-3b2f-45e9-9243-e5a8005b98de	infectious diseases
99e6da50-737b-41fa-9ad3-50f4152e79f6	health care services
c513670f-f553-4a89-8bfd-d021f267d078	personalized medicine
678cdc97-e688-4736-a884-8b6bb5b9b68d	social biomedical sciences
f0844378-9f30-4873-b19b-5bff8c184a36	inflammatory diseases
ff9e9276-586f-44d1-a309-368cbd77bdcb	sport and fitness sciences
71cd7e43-dbf6-420f-8338-b444439e4e41	nutrition
79c581d5-f4f7-47b5-b582-ee6e88ee1815	nursing
8beec404-182b-4d02-a005-3d30761e3b0c	health care sciences
8190a2e4-d944-4a7e-bb2f-adb488442622	dietetics
42d645e0-f58d-40ed-9917-5b227ff41a92	substance abuse
cbb6f86d-b5c6-4649-9b06-3712653ca459	medical ethics
e2a7fab2-7027-40e8-b189-f401a23818c8	pharmacology and pharmacy
a2f16477-c745-46f0-b832-586b1c0e468b	physiology
7a3cf568-46ba-4840-be8f-f22fc030139f	immunology
c4793dfe-e80e-49dd-9fcc-a1a742de1b25	neurology
01fc32f3-a4fb-4c1b-8340-888f2fca1a90	pathology
8e2d297f-5880-4d7a-969d-79026aa0779c	medical genetics
24811189-bac9-436c-b2ee-5c59ed383169	toxicology
38089427-13ee-4c1a-a7cf-4cd6c4802e33	anatomy and morphology
4f3b304b-f7cc-4fd0-bcc6-a27183089456	medicinal chemistry
284ca20c-beb4-4abe-99fa-ef4513358bad	obstetrics
5375c411-6db9-40ed-a854-6554102a587b	dermatology
5754a839-d714-4849-9789-e831eb4af6f1	odontology
cb061cc1-dd52-46a4-a8fe-065838d5b44a	venereal diseases
5e1591e2-d02b-436c-8216-6b8912eee467	emergency medicine
e92e8adc-8256-4a4c-a052-b3cad420db7d	anaesthesiology
d90d8dbf-c4b3-46c0-bf2c-55a4a3d9ba8b	urology
4455c187-2f2f-4cd1-a4dd-449f59d73b39	cardiology
d1dd1bac-5313-4ab3-837f-4acd3ec521a7	endocrinology
c4538836-ae58-4941-b544-50f53e979e20	orthopaedics
621ef1ce-2ebd-43d9-a6c7-ecd962d27269	ophthalmology
f6e18c52-6087-4662-904c-5c4b8174e40e	pneumology
3961e9d2-ab3b-451b-b246-20fc0ec3b0c4	nephrology
00a5c4f4-b7ee-41a4-bcdf-3a02e6be1660	clinical neurology
4ae9faed-32ab-4b7c-adb1-90f54d10c540	angiology
5784b7f1-c7ce-49d9-9f38-aebcda0ff41d	oncology
e7e1c80b-2874-482d-bd67-ce672af5cfb4	critical care medicine
38e57437-b2cc-4d26-a46e-c5b639c01e5f	physiotherapy
432746d6-998b-431f-b22f-d3abe0e8aada	surgery
d37e4d8c-a978-40c7-ba4f-eee841851073	gerontology
7341b8bd-fcb0-44c1-9ca9-8752b542ed59	andrology
a3898340-a42d-4f5e-a822-1de204a9a867	gastroenterology
3de50dee-da1c-4791-a386-56bca24a5fed	psychiatry
b469121d-9e7d-478a-890c-56c73607a917	radiology
27c456a1-051a-42f6-b52a-3beff0487da7	hepatology
ce3293cb-700b-4b49-a91b-56ddfc97181f	embryology
71137b04-547d-4329-8db3-251df3e84589	transplantation
af65e2bf-afc5-45e8-a0fc-364dfb48f0a4	allergology
9239f328-78c9-40a5-a0b9-8e66fd9b6245	hematology
bf8aaaac-ddee-41cd-bb8a-c5a63de3fcbd	paediatrics
9c3a57c5-68bd-4ee7-a9cc-aa8ba07bde94	otorhinolaryngology
7de64596-5b0d-4977-8f98-b982ff2ec17d	gynaecology
4b9f8efb-68dd-45a1-b04c-d23d457d6898	general medicine
0d45044a-74d5-4bd7-b920-b92af3388576	internal medicine
134581fe-5bce-4d8a-9279-bbb69c824ea3	clinical microbiology
bfb0bafd-7894-45ba-84fc-ddab5fd6c537	rheumatology
c42fc6ec-b216-4a24-9e9d-f5e781c175a0	peripheral vascular disease
c3c03909-fc4b-4082-9de2-3a105efcb1aa	integrative and complementary medicine
163e8940-1568-42a7-a52d-b66b18db16e0	history of medicine
fafbe5ea-68fc-490c-8920-c1c6b5c8006e	forensic sciences
be9c7e2f-d88d-4e49-9116-ef752aeca290	genetic engineering
582a0b32-79e8-4b30-abf9-c7b6a6708683	tissue engineering
ee1d85aa-6280-4a27-9580-f5245768c72a	implants
3aa7fb7c-2eba-4211-a8f4-8d1ccaddc7e2	cells technologies
8a8f7c98-1ab7-4280-b763-b87de70cea7c	nanomedicine
7a868b71-b645-4d74-9c49-8e9ced9e8c1b	coating and films
b235ad52-5fbd-4bad-b83f-60b1b43757f3	metallurgy
5f29c33d-99e2-40f8-82f8-30b71a5e7b79	textiles
c570a89b-766b-4a16-9443-533d33d9b0ea	liquid crystals
950e524e-2e57-4026-9624-0f308a042961	amorphous solids
2fba9c5c-193c-47ec-81f5-518020bff496	ceramics
c835a32d-04c8-493b-9644-203414287c92	composites
0b5b841c-e4a3-4179-9c06-166041fd4254	synthetic dyes
61a310a8-87ce-448c-b5e5-28feab37defe	crystals
678ba79d-add4-4a4c-89df-9bf13d8de22b	colors
ce6666e1-e816-4f32-8094-2634e44630d3	woodworking
c790f6e2-c1e0-44c1-a413-7f60e950f09d	fibers
4215b6cb-66f0-4ace-a270-8ae68bdd1a76	nanocomposites
ca74d281-1a02-4330-bb9d-c37be452d597	transportation engineering
53d318ec-2f1b-41e4-8317-24b35f9a9120	structural engineering
5e784778-9a21-483e-8435-37d7af93c92d	construction engineering
0bccc6b0-7563-4056-aff7-5436488dc37e	water engineering
38ee72d6-1158-4d1f-a6c8-e60f7b913c33	architecture engineering
d2a63922-c4ee-42a3-bef3-77eb49ebfb03	urban engineering
8f88c01b-6255-42c7-af87-1dda2ae9af1a	information engineering
380ec7da-dd0e-49e8-9914-ca5c72a5c2de	electronic engineering
5d08280c-4bca-41ff-9034-81d4210a7b6b	electrical engineering
a8ec011b-2e01-4088-8f7c-28fa848ade2d	ecosystem-based management
0432df49-4127-42da-9eae-d07d8061f62d	energy and fuels
62d2a84e-3f7d-4164-890a-bac80360105b	waste management
8f5a6a53-4d7c-471d-8af2-3f4b57e4655e	natural resources management
060a0080-34de-404c-b235-ee69daa67ada	mining and mineral processing
195984de-c722-4aa8-b43f-0a3365cecae6	water treatment processes
acfa84a9-7d59-42ba-8028-92bdad6272d1	remote sensing
4a174a1e-bab0-4d76-988c-9712b5703e35	carbon capture engineering
e9b542e3-aca9-4ff3-b906-72b6cd838a29	geological engineering
3118146b-5f40-4d76-b18a-01d28b9995b6	air pollution engineering
969ab3ad-46f6-4637-a09b-92670ed60152	geotechnics
e4062af9-fc49-4826-9bdb-e549f3f0f191	food technology
0d3c1001-9a67-4245-bc15-2aef8b239df1	nuclear engineering
22f80759-3d33-4ae9-9489-a5aefedc54c3	microtechnology
3c7d4f8a-c885-4c6d-a41b-b3ff1cb3669c	biomaterials
e0e6ab19-9e03-4033-bc70-d0d1affa0ce1	metabolic engineering
432182f0-ede2-4b63-8b2c-fd36f487fb53	bioprocessing technologies
aa18770d-daaf-4ef7-8229-d371b933adab	vehicle engineering
54157b12-04fe-4eb2-b707-6a46f992fdce	thermodynamic engineering
8de72c5d-c07e-4665-9d31-5aa4e1aa44f8	tribology
3e3b69cb-7cab-41d8-bd6c-6945f9c982ad	manufacturing engineering
34c57135-1b8a-4263-a942-68b658a1d663	applied mechanics
6e37f121-a5d4-4054-b685-fec1c2d5e6c8	mechatronics
9f2d4860-d6ab-446c-bad7-a6e7e4801cf1	nano-materials
0d082a10-ed95-4992-9df1-b4f4b301edfa	nanoelectronics
80ac9c16-fb4f-4fb0-a9b8-af068f3e0e3f	nano-processes
46414b4c-ea2c-4a35-b8ba-8f110dd8eb13	nanoelectromechanical systems
c3a86a9d-749f-4873-8060-1d3957c02bf8	nanophotonics
0e362272-f233-4787-bfb1-1917f4c7c43a	biochemical engineering
4d3e0b8f-ce04-475e-933f-a82f26f1086f	separation technologies
03b527bb-d9bd-4191-a424-775f6af730f0	chemical process engineering
f5bf3404-60d3-43a9-a12c-ad98d9168abe	bioremediation
946d8857-22c1-4073-af96-a721c13878fd	biosensing
ca1e1ea1-e379-4260-9eba-deb9094ca8ce	wearable medical technology
045d8dc4-1d48-4d18-b8ad-47e9df29100e	diagnostic imaging
fa9934c6-3223-4927-a17b-0095b3e73ae7	medical laboratory technology
bc439c68-e0c9-4af7-ac71-891e3b60761d	governance
989f7a0a-1ab0-4896-b0e1-338eb7b25f9b	ideologies
abd12e91-2d1b-4b99-9b4d-6ed39420bb10	gender studies
76144833-3f5b-4f6e-8568-f3511da61f95	social issues
ea0a553e-d35a-43ca-9bc2-a75f32da5c79	industrial relations
cf97c48c-d28c-4928-b6d0-d7cad57be273	demography
65672057-bb45-47a9-9b2d-5dd7c15dae10	anthropology
6bab1ac0-71ae-46aa-a7fa-26531ebf5b11	family studies
bcf62221-aa96-4628-bf0e-3274da49032a	social work
37412f1c-d90a-43cf-86fb-d29e9fc29c6f	business and management
e27cd9b6-055c-480d-8d63-e2d366ca94d7	economics
e56eb495-973e-46c1-b2b2-a446852952f4	transport
bb471542-b763-46c5-babd-c5669b5bca86	urban studies
9193c76f-0e67-47d6-819b-19c3122a535e	cultural and economic geography
55ef58a8-cd43-4d3a-8f4f-57d3671d3db5	constitutional law
ca0b52b4-4d64-4b75-a231-06ea45752be6	human rights
7d7dcbeb-e9ca-427e-9817-7594e56a81bc	law enforcement
31f7d054-da72-42f1-bde9-b44f4cbf58d9	penology
40cbd681-c84f-4af3-887a-beb6d9857f0f	international law
f22f962e-29bd-49af-ad01-adc27b8d8922	admiralty law
6cdfa437-5876-4fe0-9e66-d7ba81001787	criminology
e60d2b6c-d516-498d-b4eb-005f183b4eec	environmental law
149f7cd2-b593-4307-bf6f-77fbfd3ee961	government systems
562f2b97-7578-4fbc-a53c-b9603aad1db9	public administration
c4128628-2048-41ab-b3a8-e0c45a3be10d	political policies
b525048b-4d08-420b-b2ac-5cccaaa26d91	political transitions
034233ce-1065-4da8-b501-54f951afd7ab	political communication
85d38bff-6c87-4717-81d9-f249ee6a7f64	cognitive psychology
83e22162-07bd-48eb-a6ae-d003d6910aff	psychotherapy
a5f238d6-be16-4968-8a0b-61384f7b6e1a	ergonomics
5734c649-766d-4880-8891-daee21d64bb4	social psychology
0f7327f0-f241-40a5-9728-5ed61a7ef5d3	psycholinguistics
6ec4c796-f249-4113-bcc4-2b026afaaed4	developmental psychology
189bf165-64c4-423e-bab1-eac6a2db721d	behavioural psychology
4715fd38-1233-4283-8247-32eda72784c8	pedagogy
46b4c7fc-fae5-4925-a2f9-6ecbdfec5109	inclusive education
4ad75c3c-205c-420e-b9cd-18ee54258c43	didactics
b61af0db-fa53-40bf-99ca-14af26f6b08a	special education
c35a5815-ee59-4223-88d0-1973837a6b58	development studies
0b3acff8-05e8-448e-ba5e-db6fee0e6d32	journalism
65ae294f-010f-4735-9e8e-aa522a33bbbe	graphic design
46bb355e-acf6-4eb1-8c29-18efb51f0ec0	literature studies
61bab820-648f-4f84-9f2d-71b5f80c5835	linguistics
3eaeff93-c40a-4806-b3a3-74e6c69cc9ef	general language studies
192cfa59-26ab-465e-9338-2b957e3d79ba	history
76da466d-e78f-44b0-990a-db42f87b9454	archaeology
403e6b96-4460-4e8a-9500-a854d8f25b57	modern and contemporary art
07313c54-6fb7-493e-90ce-d40c14615f6c	performing arts
47eb9d78-a29d-4759-8c86-d7d4a8065997	musicology
62e0b84b-ccbb-4cd9-a8b3-9fafb942904e	visual arts
afe0f21c-5863-4628-a909-829d12618497	architectural design
9f06ae95-d41a-4621-9152-8a6e1eb46334	art history
20e77e46-571d-42a4-b3f1-8eb284bc4034	philosophy
61735be0-41d4-4c93-a7a0-9fdca27e92c1	religions
50df14de-3934-4dc8-a6e1-c0008963aa0e	ethics
2dbfd0d0-fc0e-4426-986e-ad00a7ea7810	library sciences
0c67e976-ff93-4ca9-8ec7-ac06876e3e41	microscopy
fcb515f2-b24c-40d6-ab2f-56a5ba589f67	cavity optomechanics
7b38f8b4-3f5a-4a59-84f8-d270c33146c8	spectroscopy
e39eb923-d810-425b-a740-954a93eaf8d9	laser physics
e7fb08ba-d408-439c-a4d4-bb8270ac37cb	fibre optics
5ccac6a4-396a-4789-9506-de4ee54aae3d	nonlinear optics
828fbc8f-af57-4946-a4bd-219cc9ea615d	space exploration
74f1f6d9-2480-440a-a168-82967a9677ef	planetary sciences
6c45311d-08ee-4e0d-865f-2cf01b9804d5	physical cosmology
d5bf8fe0-33cb-4355-b9a6-e759dbf567d1	stellar astronomy
42d56c99-ce08-429f-9751-4f711910a804	observational astronomy
257bb258-ba7e-46da-a91d-1b925c963886	astrophysics
7433fd60-f5ac-4eef-aba0-b184ce116fe9	history of astronomy
00a28aba-3218-4825-a8ed-5929fde51130	galactic astronomy
1a9b237f-0900-4033-b430-90faca7629a4	extragalactic astronomy
53157b24-5ec5-4b97-bbeb-b1af580cf101	astrochemistry
979542e2-8e0e-492b-8801-15f54ed7e7d5	quasiparticles
1e41a6e4-0f75-496a-964e-adf5c3ec4b98	solid-state physics
77ad429e-855b-4878-959b-ba8f73c58113	bose-einstein condensates
996cbe8a-bba0-42a1-8f91-6ee04f30f5cc	mesoscopic physics
ece3a974-692c-4da9-900b-dfc49c8d1dd9	quantum gases
081ec693-4e8c-46cb-b4d7-4deb186b534a	soft matter physics
85646b5c-6f6b-4670-abd1-1304a438556c	nuclear decay
9ba3f7b6-d0f6-4168-b6d1-e48fa267ed2c	nuclear fission
fcce0967-c6db-49f5-acba-4a3491bfc47f	nuclear fusion
064e41de-ff96-4ad5-b27d-452957cb0c1e	spintronics
aa916836-94a3-4ae6-8d69-8d9d938a69ab	semiconductivity
b0b76f16-4d88-4484-81e8-61ba83b239c4	superconductivity
29584f77-4bbc-4540-afae-cbc9764a2660	microelectronics
36a49a69-5753-425f-9c0b-90449260b201	electromagnetism
b815a806-57fc-4646-8e3f-38bb81b5d33b	optoelectronics
dfdf9f37-abb1-4ea8-90d5-b757433d0ccb	ultrasound
ddec251f-0c47-44a4-b95d-9d4bf11a093e	particle physics
b404e41f-008e-4efb-a980-1009ad2c32e2	string theory
e6360dda-8e17-4d8b-94ae-0f62f439f39a	quantum field theory
e09e98aa-d55f-4d90-a60e-29da9b299ad8	quantum optics
0650224c-0f98-4b97-a6ac-f6cf00b0b636	mineralogy
2777834c-929f-4b5c-ab4b-f516e308f659	geomorphology
e54c41e3-a9a2-41a5-a978-b1de010811fc	sedimentology
59f6b691-53b4-4ee6-9bc2-d428584ec8b2	seismology
dd5c735b-4fef-4288-8e17-e543e63bf031	volcanology
aa030197-1dda-4fdc-9e79-520fb5ea6624	petrology
15dd89d5-ee26-45b6-93b3-3d9b8fe7401a	geochronology
4fe6cea9-6919-4151-bb60-ed9591edd1d9	lithology
caef7888-78d0-473b-b3dc-97d8e9c65073	climatology
f2a75729-1f21-4b2d-8c7d-bc7af02e71f7	meteorology
97337473-372b-4662-9d60-a25384e348d6	paleoecology
0b064a78-a2af-4fc9-b417-0982bdab9d69	biostratigraphy
1844c39c-060b-4eae-b6b3-a9b7a266f61b	paleoclimatology
a773aaf3-3c90-4cc4-bfa3-7cb6d80fc77b	palynology
46b0065f-4c0a-49f3-8d30-95594bec23b4	sustainability sciences
8de66ca0-d07a-4f3d-b41f-02f6fe6a19fc	pollution
5adfbef0-fb48-4e28-b8f5-256e1dfcb326	ozone depletion
dcd2916d-935f-446d-a42c-069ee43f3c51	ocean chemistry
1cd66672-bc7f-48ee-b60e-332bcb886d09	physical oceanography
14dc3edd-a6a7-4e26-9f74-146a47282833	cosmochemistry
1771166d-eb6d-47fc-8d0b-ecfd001efbbc	organic geochemistry
cdb31644-8d2d-4ac7-a421-162f01281f8f	isotope geochemistry
98f5f863-7cbf-46a0-84e0-cb319895e0ae	biogeochemistry
a1a79293-1df8-43c9-af05-ed63bdfda720	cartography
32373d5c-3a9a-4ed1-a6c9-3dc6227b57cb	coastal geography
c65e2864-db03-462c-a181-cf1e18b2b6b5	glaciology
ae68c142-4643-4df3-bc77-b2c15cce63de	natural disasters
64677c83-d296-43b3-b4a1-a6e79ce71488	limnology
e35d2e39-9fef-4747-84a2-c493c4bf722f	ecohydrology
ee9d7616-203d-4997-b287-975e9b807329	drainage basins
04589be3-96d0-4963-b753-cf690b001501	hydroinformatics
8d84097d-1017-4b85-a259-5e2d476a3575	hydrometeorology
1c9679d2-8bf2-436e-bae7-d7b99b82dff1	hydrogeology
4ca6f709-c1f7-4544-86e0-6a3aecc210b8	isotope hydrology
f64f8e80-e70e-45a8-a6fa-2f36f6da162b	soil management
5b7a4490-820b-4d26-b467-f23c24cda347	pedology
8d8401ba-b60d-45b0-b5b8-aa9ac816df6a	land-based treatment
71d5af4e-15df-4c68-8e73-5ee66a929b94	edaphology
e1a7b007-273f-47fa-a40b-4c9388ad5562	aliphatic compounds
650a36ed-80be-418e-a0e0-5ba439924552	ketones
a6b564d0-8e0b-4b99-ac20-f26ddc218aa2	heterocyclic compounds
cc4a0820-3515-43e3-98c7-57b3a0e906e2	organic reactions
aa432210-f5a0-45cf-b913-f202d3b5a3fe	organohalogen compounds
d0ffb7f2-8938-41c5-b1a1-edc9bd17b591	hydrocarbons
638f1eab-f9e2-49df-8aae-f6c1211d7ed7	organic acids
ef07c1e2-132e-4ce1-9eab-f4fa3b7f9827	volatile organic compounds
91280519-d70b-4a3c-a538-c2e315efb0f0	aromatic compounds
d5306c94-2609-4e5c-9531-1961c42f5a7e	alcohols
8652ea02-86fe-4fbe-9feb-baba1931157e	amines
d7e5599e-3253-4a8a-9139-a8de1f4586ba	aldehydes
388b11f2-ea9a-4730-b933-ff74934568b4	thermochemistry
6016144d-477e-4e89-b543-0e8f6c488cc6	photochemistry
7aca9814-d7a5-43b2-8521-0fa53e8bd36a	quantum chemistry
4964c84a-7f43-4b2f-a434-f4af9a4cfde3	quantitative analysis
22aa7f46-de22-440d-8864-ff867878f11f	mass spectrometry
7a2af875-ffe4-46ae-b139-d3404cc678d9	calorimetry
8e821abf-25b0-440a-9e58-744cb280cc84	volumetric analysis
cc6de2a1-430d-4320-8bd8-2e4e27487bd6	bioelectrochemistry
cf686916-c5f7-4244-adf9-3ff82e5310a3	electrolysis
2322520f-4e32-45e3-8f8b-bedc5ab4ba9b	electric batteries
ff90b6be-370f-4b0c-a92a-ddf159df1b88	electrophoresis
6fe1af5e-d328-4d17-b159-693801337af8	radiochemistry
6fb24b32-86c2-46d3-9839-22fb9cda8e62	radiation chemistry
11f4c8f8-79dc-4127-a732-40c359a5531f	alkali metals
f4a411db-8dd1-4d7f-8c74-7b0d631819bd	alkaline earth metals
9e5be1eb-bf25-4136-a4e5-2c68aa7cd80a	organometallic chemistry
a563319c-3538-4705-bbaa-67ca37f23b89	transition metals
b03c2195-7e74-4bd6-b82c-24e83ee95e99	bioinorganic chemistry
3a8c866d-87bf-4346-a5d1-92080b124fd4	metalloids
e9da6561-23b9-48ac-9377-b68b13393e77	inorganic compounds
f21870a6-250b-4994-9286-20927dd77423	noble gases
